"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawBase4","rawBase5","rawBase6","rawPPAO2","rawPPAO3","rawPPAO4","rawPPAO5","rawPPAO6","rawPPDP2","rawPPDP3","rawPPDP4","rawPPDP5","rawPPDP6","rawComb2","rawComb3","rawComb4","rawComb5","rawComb6"
42,111.129826355,25.3397014618,11.87687206268,12.01852111818,111.152000427,110.413986206,112.072715759,111.193565369,110.816864014,25.7611598969,25.3818874359,25.6970062256,25.4516868591,24.4067668915,11.4345779419,12.0324811935,11.7691984177,12.0997123718,12.0483903885,11.9873170853,12.0314540863,11.9000692368,12.1002264023,12.0735387802
43,113.2553848268,25.12917823792,11.47101631164,11.93455810548,117.996322632,112.557197571,110.330841064,112.322143555,113.070419312,25.5466327667,24.8537826538,25.2068805695,24.9723377228,25.0662574768,11.4294452667,11.5649356842,11.349896431,11.375043869,11.6357603073,11.9370212555,11.9785928726,11.9236774445,11.8472080231,11.9862909317
44,112.459994507,25.49223098756,11.81682510376,12.03884487154,111.849975586,115.472808838,112.817405701,110.656227112,111.503555298,25.0749816895,25.9741458893,25.9885158539,25.8232593536,24.6002521515,12.1746435165,11.7199287415,11.6321678162,11.8667106628,11.6906747818,12.0997123718,12.1079244614,12.0596818924,11.9585771561,11.968328476
45,112.6191955566,24.99060783386,11.83622493744,12.14138641358,113.201805115,113.737609863,111.15712738,111.605171204,113.394264221,25.5148124695,25.2587146759,24.877904892,24.5550880432,24.7465190887,11.4412498474,12.3830108643,12.012465477,11.5341424942,11.8102560043,12.12383461,12.1561670303,12.0294017792,12.1125431061,12.2849855423
46,113.3834854124,24.69509468078,12.13902530668,12.17392463682,111.330085754,116.292938232,113.295722961,111.033447266,114.965232849,24.6166744232,24.3610897064,24.8450584412,25.1971282959,24.4555225372,12.0355596542,12.2752342224,12.0997123718,12.2634305954,12.0211896896,12.148982048,12.1012525558,12.1033058167,12.4307403564,12.0853424072
47,114.139048767,25.25830459596,11.94646472932,12.25131835938,112.796356201,111.899246216,113.428649902,114.213363647,118.357627869,25.3962593079,25.5928230286,24.7152137756,25.5846099854,25.0026168823,11.89955616,12.5457019806,11.8472080231,11.7594470978,11.6804103851,12.1977376938,12.1192150116,12.4338197708,12.1546278,12.3511915207
48,113.008834839,24.5112586975,11.78685302736,12.19681415558,110.849197388,113.415306091,112.021911621,113.148429871,115.609329224,24.5360984802,24.1927528381,24.5966587067,25.1062889099,24.1244945526,11.4956512451,11.5777664185,11.9277839661,11.8066635132,12.1263999939,12.1402568817,12.068406105,12.2316102982,12.2572717667,12.2865257263
49,113.21925354,24.50705070496,11.48394966124,12.14497890472,111.15712738,114.842063904,112.175361633,111.849464417,116.072250366,23.8104038239,24.7685890198,24.8127250671,24.8994598389,24.2440757751,11.4658842087,11.4125089645,11.4545936584,11.6752786636,11.411482811,12.2310972214,12.0232429504,12.1099767685,12.1515483856,12.2090291977
50,114.1183151246,24.80728530884,11.7191078186,12.29514751436,117.176704407,114.447906494,113.587234497,112.756324768,112.623405457,25.0862731934,25.3711109161,24.7311229706,24.8204231262,24.0274963379,11.5603170395,11.8266792297,11.9313764572,11.6578292847,11.6193370819,12.0535230637,12.3429794312,12.2829332352,12.2372560501,12.5590457916
51,113.4699127196,25.3873287201,11.7769990921,12.29514789582,113.185897827,115.145889282,113.271606445,115.72480011,110.021369934,25.440908432,25.3444232941,25.5471458435,25.4645175934,25.1396484375,12.0016870499,11.6845169067,11.8913450241,11.7353258133,11.5721206665,12.2023572922,12.2249393463,12.408159256,12.5498085022,12.0904750824
