"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawPPAO2","rawPPAO3","rawPPDP2","rawPPDP3","rawComb2","rawComb3"
149,173.584640503,21.965628624,18.3137998581,20.43366146085,173.843048096,173.32623291,21.8375797272,22.0936775208,18.6068496704,18.0207500458,20.3805427551,20.4867801666
150,175.266975403,22.00360679625,18.06437397005,20.7190132141,175.477142334,175.056808472,21.9314994812,22.0757141113,17.9329891205,18.1957588196,20.4334049225,21.0046215057
151,176.7948379515,22.1511583328,18.1487998962,20.75776100155,177.001922607,176.587753296,22.2984523773,22.0038642883,18.1798496246,18.1177501678,20.5262985229,20.9892234802
152,178.6660461425,22.36414527895,18.4328670502,20.96484661105,178.594451904,178.737640381,22.2681732178,22.4601173401,18.5088233948,18.3569107056,20.8691310883,21.0605621338
153,180.501068115,22.25508499145,18.49702072145,21.11855602265,180.787445068,180.214691162,22.2599601746,22.2502098083,18.5319194794,18.4621219635,21.0184783936,21.2186336517
154,183.261177063,22.3903198242,18.5781097412,21.11291122435,183.076934814,183.445419312,22.2763843536,22.5042552948,18.6515007019,18.5047187805,21.1324138641,21.0934085846
155,184.50214386,22.62819767,18.68383312225,21.1403684616,184.271194458,184.733093262,22.7080039978,22.5483913422,18.7685146332,18.5991516113,21.0995674133,21.1811695099
156,184.3389358525,22.80500221255,18.91093349455,21.32872009275,184.599136353,184.078735352,22.7706165314,22.8393878937,18.8434448242,18.9784221649,21.2376232147,21.4198169708
157,186.256851196,22.95819854735,18.9550704956,21.4408597946,186.364624023,186.149078369,22.9399795532,22.9764175415,19.1118602753,18.7982807159,21.2894592285,21.5922603607
158,187.7821426395,22.8142404556,18.98458099365,21.66282844545,188.04234314,187.521942139,22.881986618,22.7464942932,18.90092659,19.0682353973,21.6256198883,21.7000370026
159,189.480911255,23.28050231935,19.2114248276,21.9402246475,189.796539307,189.165283203,23.4044456482,23.1565589905,19.176525116,19.2463245392,21.9166164398,21.9638328552
160,191.3202972415,23.48630428315,19.5250034332,21.99154663085,191.296691895,191.343902588,23.4999046326,23.4727039337,19.4890785217,19.5609283447,21.8288555145,22.1542377472
161,192.72215271,23.603061676,19.6681919098,22.1118965149,192.366744995,193.077560425,23.4070110321,23.7991123199,19.625082016,19.7113018036,21.8406581879,22.3831348419
162,194.2882537845,23.89611148835,19.82292842865,22.5897054672,194.609024048,193.967483521,23.7457370758,24.0464859009,19.8380680084,19.8077888489,22.5022010803,22.6772098541
